model,incidence_rate,market_size,percentile,percent_persons_contacted,number_persons_contacted,percent_patients_found,number_patients_found
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,1,6.678139710689631e-7,1,0.000006994718987164691,1
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.99,0.010000514216757723,14975,0.08965131325848984,12817
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.98,0.020000360619544376,29949,0.16684503200083936,23853
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.97,0.03000020702233103,44923,0.23582695065225753,33715
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.96,0.040000053425117685,59897,0.2963872276431294,42373
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.9500000000000001,0.05000056764187541,74872,0.3495470919455811,49973
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.9400000000000001,0.06000041404466206,89846,0.39692232364564756,56746
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.93,0.07000026044744871,104820,0.4377644878117022,62585
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.92,0.08000010685023537,119794,0.47392019025635646,67754
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.91,0.0900006210669931,134769,0.5064736124226209,72408
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.9,0.10000046746977975,149743,0.535529675095303,76562
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.89,0.1100003138725664,164717,0.5608715419858007,80185
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.88,0.12000016027535305,179691,0.5849683488965831,83630
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.87,0.1300000066781397,194665,0.6058895533871926,86621
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.86,0.14000052089489742,209640,0.6251949777917672,89381
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.85,0.1500003672976841,224614,0.6431364319938446,91946
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.84,0.16000021370047074,239588,0.6597908579022838,94327
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.8300000000000001,0.17000006010325738,254562,0.6754450389955583,96565
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.8200000000000001,0.18000057432001512,269537,0.6905116636939111,98719
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.81,0.19000042072280177,284511,0.7045290805441892,100723
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.8,0.20000026712558844,299485,0.7177840730248662,102618
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.79,0.21000011352837508,314459,0.7304375196726471,104427
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.78,0.2200006277451328,329434,0.7418948693736229,106065
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.77,0.23000047414791946,344408,0.7523309901024726,107557
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.76,0.2400003205507061,359382,0.7622774805022208,108979
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.75,0.25000016695349275,374356,0.7730493477424545,110519
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.74,0.2600000133562794,389330,0.7822334137726017,111832
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.73,0.27000052757303716,404305,0.7910957227293394,113099
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.72,0.2800003739758238,419279,0.7996292798936803,114319
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.71,0.29000022037861045,434253,0.8072395341517155,115407
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.7000000000000001,0.3000000667813971,449227,0.8149756933515196,116513
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.6900000000000001,0.3100005809981548,464202,0.822634910642465,117608
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.68,0.3200004274009415,479176,0.8298184870422831,118635
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.67,0.33000027380372815,494150,0.8366243486167944,119608
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.66,0.34000012020651477,509124,0.8427097541356277,120478
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.65,0.3500006344232725,524099,0.8487042283076277,121335
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.64,0.3600004808260592,539073,0.8545378239429231,122169
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.63,0.3700009950428169,554048,0.8604413667680901,123013
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.62,0.38000017363163247,569021,0.8660301472388346,123812
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.61,0.39000002003441914,583995,0.8712971706361697,124565
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.6,0.4000005342511769,598970,0.8766271465043892,125327
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.59,0.4100003806539635,613944,0.8817542755219809,126060
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.58,0.42000022705675016,628918,0.8869513517294443,126803
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.5700000000000001,0.43000007345953684,643892,0.8917777078305879,127493
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.56,0.4400005876762945,658867,0.896156401916553,128119
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.55,0.4500004340790812,673841,0.9005281012835309,128744
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.54,0.46000028048186786,688815,0.9052635260378414,129421
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.53,0.4700001268846545,703789,0.9096142412478578,130043
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.52,0.4800006411014122,718764,0.9136362046654776,130618
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.51,0.4900004875041989,733738,0.9173573951666492,131150
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.5,0.5000010017209566,748713,0.9208547546602315,131650
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.49,0.5100001803097722,763686,0.9246388976322876,132191
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.48,0.5200000267125588,778660,0.9280733046549855,132682
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.47000000000000003,0.5300005409293166,793635,0.9316126324624908,133188
PDI5_01: Cardiology: Cardiology,0.09547402437387431,100000,0.46,0.5400003873321032,808609,0.9349281292624069,133662
